date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:19	33833/33833	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:19%20GMT	https://www.tawatechnology.com/	D:/NPTC/www.tawatechnology.com/index.html	(from )
00:48:20	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Aug%202022%2014:43:04%20GMT	https://www.tawatechnology.com/robots.txt		(from )
00:48:20	583/583	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Aug%202022%2014:43:04%20GMT	https://www.tawatechnology.com/assets/img/hero-placeholder.jpg	D:/NPTC/www.tawatechnology.com/assets/img/hero-placeholder.jpg	(from https://www.tawatechnology.com/)
00:48:21	36171/36171	---M--	200	added ('OK')	text/css	date:Fri,%2027%20Feb%202026%2004:34:49%20GMT	https://www.tawatechnology.com/assets/css/style.css	D:/NPTC/www.tawatechnology.com/assets/css/style.css	(from https://www.tawatechnology.com/)
00:48:21	83/83	---M--	409	error ('Conflict')	text/html	date:Sat,%2021%20Mar%202026%2019:18:20%20GMT	https://www.tawatechnology.com/contact.php	D:/NPTC/www.tawatechnology.com/contact.php	(from https://www.tawatechnology.com/)
00:48:21	33833/33833	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:21%20GMT	https://www.tawatechnology.com/index.php	D:/NPTC/www.tawatechnology.com/index-2.html	(from https://www.tawatechnology.com/)
00:48:22	6226/6226	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:56%20GMT	https://www.tawatechnology.com/assets/img/logo.webp	D:/NPTC/www.tawatechnology.com/assets/img/logo.webp	(from https://www.tawatechnology.com/)
00:48:22	36871/36871	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:22%20GMT	https://www.tawatechnology.com/software.php	D:/NPTC/www.tawatechnology.com/software.html	(from https://www.tawatechnology.com/)
00:48:23	27204/27204	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:22%20GMT	https://www.tawatechnology.com/products.php	D:/NPTC/www.tawatechnology.com/products.html	(from https://www.tawatechnology.com/)
00:48:23	42553/42553	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:23%20GMT	https://www.tawatechnology.com/training.php	D:/NPTC/www.tawatechnology.com/training.html	(from https://www.tawatechnology.com/)
00:48:23	25100/25100	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:23%20GMT	https://www.tawatechnology.com/case-studies.php	D:/NPTC/www.tawatechnology.com/case-studies.html	(from https://www.tawatechnology.com/)
00:48:24	25128/25128	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:23%20GMT	https://www.tawatechnology.com/about.php	D:/NPTC/www.tawatechnology.com/about.html	(from https://www.tawatechnology.com/)
00:48:24	22229/22229	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:24%20GMT	https://www.tawatechnology.com/blog.php	D:/NPTC/www.tawatechnology.com/blog.html	(from https://www.tawatechnology.com/)
00:48:25	83606/83606	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:56%20GMT	https://www.tawatechnology.com/assets/img/home_hero.webp	D:/NPTC/www.tawatechnology.com/assets/img/home_hero.webp	(from https://www.tawatechnology.com/)
00:48:25	53630/53630	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:55%20GMT	https://www.tawatechnology.com/assets/img/advocate_diary.webp	D:/NPTC/www.tawatechnology.com/assets/img/advocate_diary.webp	(from https://www.tawatechnology.com/)
00:48:27	60224/60224	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:55%20GMT	https://www.tawatechnology.com/assets/img/CustomBusinessApplication.webp	D:/NPTC/www.tawatechnology.com/assets/img/CustomBusinessApplication.webp	(from https://www.tawatechnology.com/)
00:48:27	59760/59760	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:56%20GMT	https://www.tawatechnology.com/assets/img/MicroFinanceSocietyManagement.webp	D:/NPTC/www.tawatechnology.com/assets/img/MicroFinanceSocietyManagement.webp	(from https://www.tawatechnology.com/)
00:48:28	64800/64800	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:57%20GMT	https://www.tawatechnology.com/assets/img/SmallBusinessDigitizationProject.webp	D:/NPTC/www.tawatechnology.com/assets/img/SmallBusinessDigitizationProject.webp	(from https://www.tawatechnology.com/)
00:48:28	55516/55516	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:56%20GMT	https://www.tawatechnology.com/assets/img/LegalWorkflowSolutionConcept.webp	D:/NPTC/www.tawatechnology.com/assets/img/LegalWorkflowSolutionConcept.webp	(from https://www.tawatechnology.com/)
00:48:28	57492/57492	---M--	200	added ('OK')	image/webp	date:Sun,%2001%20Mar%202026%2004:47:57%20GMT	https://www.tawatechnology.com/assets/img/TrainingProjectBasedLearningModel.webp	D:/NPTC/www.tawatechnology.com/assets/img/TrainingProjectBasedLearningModel.webp	(from https://www.tawatechnology.com/)
00:48:28	8888/8888	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:28%20GMT	https://www.tawatechnology.com/faq.php	D:/NPTC/www.tawatechnology.com/faq.html	(from https://www.tawatechnology.com/)
00:48:29	16071/16071	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2019:18:28%20GMT	https://www.tawatechnology.com/privacy-policy.php	D:/NPTC/www.tawatechnology.com/privacy-policy.html	(from https://www.tawatechnology.com/)
